brand,modelNumber,price,color,specifications.display,specifications.camera,specifications.processor,specifications.storage,releaseDate,batteryCapacity,connectivity.wifi,connectivity.bluetooth,connectivity.cellular,weight,operatingSystem,isWaterResistant,additionalFeatures,accessories,warranty.validUntil,warranty.type,image
HTC,HTC HTC P491740,1806,Frosted Black,AMOLED,Dual 12MP,Snapdragon 888,128GB,Fri Nov 24 2023 15:44:09 GMT+0530 (India Standard Time),4087mAh,true,true,false,152,Android,true,"curso,vitae,carcer,audacia,acsi","[{""name"":""Gorgeous Frozen Bacon"",""type"":""talus"",""price"":34},{""name"":""Sleek Rubber Bacon"",""type"":""aveho"",""price"":23},{""name"":""Refined Bronze Fish"",""type"":""minima"",""price"":54}]",Fri Apr 12 2024 15:18:26 GMT+0530 (India Standard Time),mollitia,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZjRiZDg1Ii8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Mi,Mi  ProC207267,1879,Midnight Gray,Super Retina XDR,48MP,Exynos 2100,128GB,Tue May 16 2023 07:54:22 GMT+0530 (India Standard Time),3992mAh,false,false,true,167,Android,false,"appono,at,volva,verecundia","[{""name"":""Fantastic Fresh Sausages"",""type"":""civis"",""price"":42},{""name"":""Modern Rubber Pants"",""type"":""toties"",""price"":98}]",Tue May 14 2024 09:05:52 GMT+0530 (India Standard Time),ascisco,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjNWRhNzFmIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Huawei,Huawei Huawei Mate L158617,764,Midnight Gray,Super Retina XDR,Dual 12MP,Snapdragon 888,64GB,Fri Jun 16 2023 22:36:10 GMT+0530 (India Standard Time),3333mAh,false,false,false,196,Android,true,"repellendus,libero,viriliter,volva","[{""name"":""Electronic Wooden Salad"",""type"":""deficio"",""price"":49}]",Fri Mar 29 2024 21:10:21 GMT+0530 (India Standard Time),eius,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjYmJmODVmIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
ZTE,ZTE ZTE Blade LiteY458283,1970,Awesome Blue,LCD,Triple 48MP,Exynos 2100,128GB,Tue Jul 18 2023 00:26:37 GMT+0530 (India Standard Time),4871mAh,false,true,false,162,iOS,false,"tego,arceo,aurum,abduco","[{""name"":""Modern Concrete Pants"",""type"":""adeo"",""price"":12}]",Fri Jul 05 2024 16:47:54 GMT+0530 (India Standard Time),spiritus,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjYjcyY2JjIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
HTC,HTC LifeQ244497,1416,Glacier Blue,Super Retina XDR,Dual 12MP,Exynos 2100,64GB,Mon Mar 13 2023 19:07:58 GMT+0530 (India Standard Time),4791mAh,false,true,false,190,Android,false,"defaeco,vivo,defaeco","[{""name"":""Generic Wooden Chair"",""type"":""fugiat"",""price"":100}]",Thu Feb 22 2024 08:29:25 GMT+0530 (India Standard Time),beatae,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZjBjY2Y1Ii8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
HTC,HTC evoW34969,619,Cosmic Black,LCD,Dual 12MP,A15 Bionic,64GB,Sat Apr 22 2023 17:29:34 GMT+0530 (India Standard Time),3076mAh,false,false,true,173,iOS,false,"avarus,depulso","[{""name"":""Elegant Plastic Car"",""type"":""ait"",""price"":20}]",Tue May 28 2024 21:16:13 GMT+0530 (India Standard Time),texo,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjYWVlN2MzIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Xiaomi,Xiaomi RedmiV312454,816,Green,Super Retina XDR,48MP,A15 Bionic,128GB,Thu Feb 16 2023 01:09:02 GMT+0530 (India Standard Time),3180mAh,false,true,false,162,Android,true,"aequus,ventosus","[{""name"":""Handcrafted Plastic Bacon"",""type"":""amaritudo"",""price"":69},{""name"":""Tasty Plastic Chicken"",""type"":""addo"",""price"":68}]",Thu May 09 2024 18:46:00 GMT+0530 (India Standard Time),coniuratio,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjNmUxNTZkIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Huawei,Huawei Huawei  LiteW304885,1411,Morning Mist,LCD,12MP,Exynos 2100,128GB,Sat Apr 29 2023 00:04:13 GMT+0530 (India Standard Time),3129mAh,true,true,false,195,Android,false,dedico,"[{""name"":""Refined Wooden Computer"",""type"":""amissio"",""price"":11},{""name"":""Bespoke Granite Computer"",""type"":""adicio"",""price"":40}]",Sat Jan 11 2025 14:30:11 GMT+0530 (India Standard Time),clam,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjNzAzZjU2Ii8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
realme,realme G413480,736,Aurora White,Super Retina XDR,Triple 48MP,Snapdragon 888,64GB,Thu Sep 07 2023 05:20:41 GMT+0530 (India Standard Time),3888mAh,true,true,true,188,Android,false,"alioqui,tabgo,audio,utroque,conservo","[{""name"":""Oriental Rubber Chips"",""type"":""ambulo"",""price"":85},{""name"":""Intelligent Concrete Salad"",""type"":""cinis"",""price"":26},{""name"":""Incredible Metal Hat"",""type"":""suffoco"",""price"":68}]",Sat Sep 14 2024 15:06:22 GMT+0530 (India Standard Time),ventus,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZmVhODhhIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Apple,Apple iPhone N386108,1428,Aurora Gray,LCD,12MP,Exynos 2100,64GB,Sat Dec 23 2023 11:00:17 GMT+0530 (India Standard Time),3309mAh,false,false,true,158,Android,false,"virtus,amplus,adulatio","[{""name"":""Handmade Fresh Cheese"",""type"":""consectetur"",""price"":95},{""name"":""Unbranded Fresh Bacon"",""type"":""currus"",""price"":80},{""name"":""Refined Granite Car"",""type"":""astrum"",""price"":81}]",Wed Jun 26 2024 13:33:57 GMT+0530 (India Standard Time),supra,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjYzg0MzM5Ii8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
