brand,modelNumber,price,color,specifications.display,specifications.camera,specifications.processor,specifications.storage,releaseDate,batteryCapacity,connectivity.wifi,connectivity.bluetooth,connectivity.cellular,weight,operatingSystem,isWaterResistant,additionalFeatures,accessories,warranty.validUntil,warranty.type,image
BlackBerry,BlackBerry  [126172,1091,Aurora Gray,AMOLED,Triple 48MP,A15 Bionic,256GB,Wed Feb 08 2023 11:58:59 GMT+0530 (India Standard Time),4237mAh,true,false,false,162,Android,true,"congregatio,suadeo","[{""name"":""Luxurious Frozen Soap"",""type"":""celo"",""price"":98}]",Tue May 21 2024 02:52:18 GMT+0530 (India Standard Time),rem,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMWM3MDhiIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Xiaomi,Xiaomi Mi NoteLiteH346880,1248,Lunar Silver,LCD,12MP,Exynos 2100,128GB,Sat Jan 13 2024 10:00:59 GMT+0530 (India Standard Time),3363mAh,false,true,false,156,iOS,true,"tabernus,velut","[{""name"":""Licensed Concrete Cheese"",""type"":""fugiat"",""price"":48}]",Mon Sep 09 2024 16:40:35 GMT+0530 (India Standard Time),voro,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZWNjZDBjIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Lenovo,Lenovo Lenovo W103713,1183,Phantom Gray,AMOLED,Triple 48MP,Snapdragon 888,64GB,Fri Dec 29 2023 01:31:44 GMT+0530 (India Standard Time),3712mAh,true,false,true,200,Android,true,"umbra,dicta","[{""name"":""Luxurious Cotton Pants"",""type"":""verto"",""price"":10},{""name"":""Incredible Wooden Shoes"",""type"":""vobis"",""price"":95}]",Sat Jun 01 2024 14:28:03 GMT+0530 (India Standard Time),aperiam,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjY2NjN2IyIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Huawei,Huawei Huawei  LiteI111727,638,Graphite,Super Retina XDR,Dual 12MP,A15 Bionic,256GB,Wed Nov 15 2023 01:33:14 GMT+0530 (India Standard Time),3802mAh,false,true,false,153,iOS,false,"magnam,quibusdam,clamo,creo","[{""name"":""Refined Wooden Table"",""type"":""eaque"",""price"":34},{""name"":""Generic Frozen Keyboard"",""type"":""acervus"",""price"":30},{""name"":""Practical Metal Soap"",""type"":""thesaurus"",""price"":13}]",Thu Jun 20 2024 21:19:56 GMT+0530 (India Standard Time),spes,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZTgzZDM1Ii8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Mi,Mi  Mix T196385,1083,Lunar Silver,AMOLED,Triple 48MP,A15 Bionic,64GB,Sat May 27 2023 08:50:06 GMT+0530 (India Standard Time),4166mAh,true,true,false,184,Android,true,creber,"[{""name"":""Small Fresh Gloves"",""type"":""condico"",""price"":28},{""name"":""Modern Bronze Towels"",""type"":""capillus"",""price"":75}]",Fri Apr 12 2024 00:17:30 GMT+0530 (India Standard Time),delicate,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZDZjZjZkIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Xiaomi,Xiaomi Redmi Note O91719,1552,Midnight Gray,LCD,Dual 12MP,Exynos 2100,64GB,Mon Mar 20 2023 23:22:12 GMT+0530 (India Standard Time),3967mAh,true,true,true,154,Android,true,"tollo,cuius,voluptatibus,atqui","[{""name"":""Elegant Rubber Computer"",""type"":""defaeco"",""price"":97}]",Mon Jul 29 2024 10:54:45 GMT+0530 (India Standard Time),beatus,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjYzgwZTNmIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Mi,Mi  PlayG320803,1247,Green,Super Retina XDR,Triple 48MP,Snapdragon 888,128GB,Tue Oct 10 2023 00:48:55 GMT+0530 (India Standard Time),4237mAh,false,false,false,174,iOS,true,"aer,attero,conventus,sufficio","[{""name"":""Practical Plastic Salad"",""type"":""tabernus"",""price"":33},{""name"":""Gorgeous Steel Mouse"",""type"":""vomica"",""price"":100}]",Thu Jul 18 2024 15:11:21 GMT+0530 (India Standard Time),toties,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjNGI1OTNjIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Lenovo,Lenovo Lenovo Legion Phone DuelS299629,1039,Cosmic Black,LCD,48MP,Snapdragon 888,256GB,Mon May 08 2023 10:51:43 GMT+0530 (India Standard Time),3847mAh,true,false,false,186,Android,false,"creta,uredo,delibero","[{""name"":""Handmade Bronze Keyboard"",""type"":""aequus"",""price"":40},{""name"":""Modern Metal Hat"",""type"":""alo"",""price"":46}]",Mon Apr 08 2024 23:34:43 GMT+0530 (India Standard Time),arma,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjNGE4YjFhIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
ZTE,ZTE ZTE Blade O194292,1901,Aurora Black,AMOLED,48MP,Snapdragon 888,128GB,Sun Jul 02 2023 04:50:38 GMT+0530 (India Standard Time),3393mAh,true,false,true,187,iOS,false,"placeat,iusto,decretum","[{""name"":""Licensed Bronze Bike"",""type"":""nulla"",""price"":12},{""name"":""Fantastic Steel Chair"",""type"":""amita"",""price"":95},{""name"":""Electronic Fresh Keyboard"",""type"":""tutis"",""price"":99}]",Sat Nov 23 2024 11:53:07 GMT+0530 (India Standard Time),comparo,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZGNjMGFlIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Lenovo,Lenovo  Lite[15378,1623,Awesome Blue,LCD,Triple 48MP,Snapdragon 888,64GB,Thu Jun 22 2023 14:08:00 GMT+0530 (India Standard Time),3200mAh,false,false,false,161,iOS,true,"constans,comprehendo,accusantium,demitto","[{""name"":""Awesome Plastic Fish"",""type"":""vestigium"",""price"":96},{""name"":""Sleek Concrete Mouse"",""type"":""vulpes"",""price"":42}]",Fri Jun 28 2024 07:43:24 GMT+0530 (India Standard Time),textilis,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjOWFmYzdhIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
